День,Час,Название кампании,Показы
2026-04-07,0,TV-STREAM,258
2026-04-07,1,TV-STREAM,4
2026-04-07,4,TV-STREAM,0
2026-04-07,5,TV-STREAM,0
2026-04-07,6,TV-STREAM,0
2026-04-07,7,TV-STREAM,0
2026-04-07,8,TV-STREAM,0
2026-04-07,9,TV-STREAM,15
2026-04-07,10,TV-STREAM,57
2026-04-07,11,TV-STREAM,504
2026-04-07,12,TV-STREAM,806
2026-04-07,13,TV-STREAM,1385
2026-04-07,14,TV-STREAM,4696
2026-04-07,15,TV-STREAM,13317
2026-04-07,16,TV-STREAM,22658
2026-04-07,17,TV-STREAM,31045
2026-04-07,18,TV-STREAM,103358
2026-04-07,19,TV-STREAM,109373
2026-04-07,20,TV-STREAM,105068
2026-04-07,21,TV-STREAM,99961
2026-04-07,22,TV-STREAM,9119
2026-04-07,23,TV-STREAM,3
